STATIONS_ID;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT
1303;1;  145.0;   23.0;   24.0;0;    59.74
1303;1;  144.0;   10.0;   11.0;0;    67.14
1303;1;  140.0;   11.0;   12.0;0;    75.68
1303;1;  138.0;    5.0;    5.0;0;    84.85
1303;1;  140.0;    0.0;    0.0;0;    94.20
1303;1;  138.0;    0.0;    0.0;0;   103.34
1303;1;  135.0;    0.0;    0.0;0;   111.84
1303;1;  126.0;    0.0;    0.0;0;   119.17
1303;1;  128.0;    0.0;    0.0;0;   124.68
1303;1;  133.0;    0.0;    0.0;0;   127.69
1303;1;  132.0;    0.0;    0.0;0;   127.71
1303;1;  128.0;    0.0;    0.0;0;   124.73
1303;1;  130.0;    0.0;    0.0;0;   119.24
1303;1;  112.0;    0.0;    0.0;0;   111.94
1303;1;  122.0;    0.0;    0.0;0;   103.46
1303;1;  125.0;    0.0;    0.0;0;    94.34
